hhid,home_pcode,home_mtz,dwelling_type,total_pax,car_own_normal,car_own_offpeak,motor_own,bike_own,num_underfour,num_not_eligible,presence_of_under15,num_employed_full_time,num_employed_part_time,num_self_employed,num_full_time_student,num_homemaker,num_retired,num_unemployed,num_national_service,num_voluntary_worker,num_domestic_worker,num_other,only_adults,only_workers
050004AR6,50004,532050,HDB 3-room,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
050004DO,50004,532050,HDB 3-room,6,1,0,0,0,0,0,0,3,1,1,0,0,1,0,0,0,0,0,1,0
050004ER2,50004,532050,HDB 3-room,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
050005AO,50005,532050,HDB 1-room,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
050005AR6,50005,532050,HDB 1-room,3,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
050005BO,50005,532050,HDB 1-room,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
050005BR2,50005,532050,HDB 1-room,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
050005CO,50005,532050,HDB 1-room,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
050005CR5,50005,532050,HDB 1-room,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
050005DO,50005,532050,HDB 1-room,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
050005DR2,50005,532050,HDB 1-room,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
050005EO,50005,532050,HDB 1-room,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
050005ER1,50005,532050,HDB 1-room,3,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0
050005ER2,50005,532050,HDB 1-room,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
050005ER3,50005,532050,HDB 1-room,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
050005ER4,50005,532050,HDB 1-room,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
050005ER6,50005,532050,HDB 1-room,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
050533AO,50533,532040,HDB 3-room,3,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
050533DO,50533,532040,HDB 3-room,3,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
050533ER1,50533,532040,HDB 3-room,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
050535AR4,50535,532040,HDB 3-room,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
050535BR1,50535,532040,HDB 3-room,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
050535CR1,50535,532040,HDB 3-room,4,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
050535DR5,50535,532040,HDB 3-room,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
050535ER5,50535,532040,HDB 3-room,5,0,0,0,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0
050536AR5,50536,532040,HDB 3-room,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
050536CR4,50536,532040,HDB 3-room,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
050536DR6,50536,532040,HDB 3-room,4,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0
050536ER4,50536,532040,HDB 3-room,4,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0
051335AR1,51335,532050,HDB 3-room,3,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0
051335DR2,51335,532050,HDB 3-room,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
058573BO,58573,532050,Shophouse,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
058581CO,58581,532050,Shophouse,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
058600AO,58600,532050,Shophouse,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
058604DR1,58604,532050,Shophouse,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
058604EO,58604,532050,Shophouse,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
059108AO,59108,532040,Private flat/condo,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
059108BO,59108,532040,Private flat/condo,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
059108CO,59108,532040,Private flat/condo,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
059108DO,59108,532040,Private flat/condo,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
059108EO,59108,532040,Private flat/condo,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1
059108ER1,59108,532040,Private flat/condo,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1
080008AO,80008,532010,HDB 4-room,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
080008BO,80008,532010,HDB 4-room,5,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,1,0
080008CO,80008,532010,HDB 4-room,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
080008DO,80008,532010,HDB 4-room,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
080008EO,80008,532010,HDB 4-room,4,0,0,0,1,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0
080105AR7,80105,506041,HDB 5-room,3,0,1,0,4,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
080333AO,80333,532050,HDB 2-room,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
080333AR6,80333,532050,HDB 2-room,3,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
080333BR3,80333,532050,HDB 2-room,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
080333BR4,80333,532050,HDB 2-room,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
080333CR1,80333,532050,HDB 2-room,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
080333CR6,80333,532050,HDB 2-room,3,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0
080333DO,80333,532050,HDB 2-room,5,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
080333DR3,80333,532050,HDB 2-room,3,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
080333EO,80333,532050,HDB 2-room,3,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
080333ER3,80333,532050,HDB 2-room,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
080333ER4,80333,532050,HDB 2-room,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
080333ER5,80333,532050,HDB 2-room,4,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0
080333ER6,80333,532050,HDB 2-room,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
080333ER7,80333,532050,HDB 2-room,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
081004AR1,81004,532010,HDB 3-room,4,0,0,1,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0
081004BO,81004,532010,HDB 3-room,3,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0
081004CO,81004,532010,HDB 3-room,9,0,1,0,2,1,0,1,3,0,0,2,1,2,0,0,0,0,0,0,0
081004DO,81004,532010,HDB 3-room,5,1,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0
081004EO,81004,532010,HDB 3-room,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
081005AO,81005,532010,HDB 3-room,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
081005BO,81005,532010,HDB 3-room,4,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0
081005CO,81005,532010,HDB 3-room,4,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0
081005DO,81005,532010,HDB 3-room,3,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
081005EO,81005,532010,HDB 3-room,4,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,1,0
082002AO,82002,532010,HDB 3-room,5,1,0,0,0,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0
082002BO,82002,532010,HDB 3-room,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
082002CO,82002,532010,HDB 3-room,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1
082002DR1,82002,532010,HDB 3-room,3,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1
082002ER1,82002,532010,HDB 3-room,4,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0
088271AO,88271,532010,Private flat/condo,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
088271BO,88271,532010,Private flat/condo,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
