hhid,paxid,person_type,person_type_id,age,age_id,student_type,student_type_id,gender,female_dummy,income,income_id,work_from_home_dummy,has_driving_license,has_fixed_work_location,fix_work_location_pcode_temp,fix_work_location_mtz,school_location_mtz,worktime_flex
050004AR6,1,Employed Full-time,1,40-44 yrs old,8,not a full time student,11,Male,0,$1001-$1499,2,0,0,0,0,0,0,1
050004AR6,2,Retired,6,60-64 yrs old,12,not a full time student,11,Female,1,No Income,12,0,0,0,0,0,0,0
050004DO,1,Retired,6,70-74 yrs old,14,not a full time student,11,Female,1,No Income,12,0,0,0,0,0,0,0
050004DO,2,Self-employed,3,45-49 yrs old,9,not a full time student,11,Male,0,$1500-$1999,3,0,1,1,80008,532010,0,1
050004DO,3,Employed Full-time,1,45-49 yrs old,9,not a full time student,11,Female,1,$1001-$1499,2,0,0,1,168732,506100,0,1
050004DO,4,Employed Full-time,1,45-49 yrs old,9,not a full time student,11,Female,1,$1-$1000,1,0,0,1,248674,539070,0,1
050004DO,5,Employed Part-time,2,40-44 yrs old,8,not a full time student,11,Female,1,$1001-$1499,2,0,0,1,80008,532010,0,1
050004DO,6,Employed Full-time,1,45-49 yrs old,9,not a full time student,11,Female,1,$1001-$1499,2,0,0,1,80008,532010,0,1
050004ER2,1,Employed Full-time,1,60-64 yrs old,12,not a full time student,11,Male,0,$2000-$2499,4,0,1,1,187996,514132,0,1
050004ER2,2,Retired,6,55-59 yrs old,11,not a full time student,11,Female,1,No Income,12,0,0,0,0,0,0,0
050005AO,1,Retired,6,60-64 yrs old,12,not a full time student,11,Female,1,$1001-$1499,2,0,0,0,0,0,0,0
050005AO,2,Retired,6,70-74 yrs old,14,not a full time student,11,Male,0,$1001-$1499,2,0,0,0,0,0,0,0
050005AR6,1,Employed Full-time,1,45-49 yrs old,9,not a full time student,11,Male,0,$1001-$1499,2,0,1,1,89053,506050,0,1
050005AR6,2,Homemaker,5,40-44 yrs old,8,not a full time student,11,Female,1,No Income,12,0,0,0,0,0,0,0
050005AR6,3, ,11,0-3 yrs old,0,not a full time student,11, ,0, ,13,0,0,0,0,0,0,0
050005BO,1,Employed Part-time,2,55-59 yrs old,11,not a full time student,11,Male,0,$1-$1000,1,0,0,1,79519,532010,0,1
050005BR2,1,Employed Part-time,2,50-54 yrs old,10,not a full time student,11,Male,0,$1-$1000,1,0,0,0,0,0,0,2
050005CO,1,Employed Part-time,2,25-29 yrs old,5,not a full time student,11,Female,1,$1-$1000,1,0,0,1,179103,514120,0,1
050005CO,2,Full time student,4,4-9 yrs old,1,Preschool,1,Male,0,No Income,12,0,0,0,0,0,0,0
050005CR5,1,Retired,6,80-84 yrs old,16,not a full time student,11,Male,0,No Income,12,0,0,0,0,0,0,0
050005DO,1,Homemaker,5,65-69 yrs old,13,not a full time student,11,Female,1,No Income,12,0,0,0,0,0,0,0
050005DO,2,Employed Full-time,1,25-29 yrs old,5,not a full time student,11,Male,0,$1500-$1999,3,0,1,1,408571,515162,0,1
050005DR2,1,Employed Part-time,2,50-54 yrs old,10,not a full time student,11,Female,1,$1-$1000,1,0,0,1,237994,546050,0,1
050005DR2,2,Full time student,4,15-19 yrs old,3,Post Secondary (JC/CI/ITE),4,Male,0,No Income,12,0,0,0,0,0,519040,0
050005EO,1,Employed Part-time,2,60-64 yrs old,12,not a full time student,11,Female,1,$1-$1000,1,0,0,1,80334,532050,0,1
050005EO,2,Unemployed,7,60-64 yrs old,12,not a full time student,11,Female,1,No Income,12,0,0,0,0,0,0,0
050005ER1,1,Homemaker,5,55-59 yrs old,11,not a full time student,11,Female,1,No Income,12,0,0,0,0,0,0,0
050005ER1,2,Employed Full-time,1,25-29 yrs old,5,not a full time student,11,Male,0,$1500-$1999,3,0,1,1,641692,518080,0,1
050005ER1,3,Employed Full-time,1,30-34 yrs old,6,not a full time student,11,Female,1,$1500-$1999,3,0,1,1,38983,514172,0,1
050005ER2,1,Employed Full-time,1,40-44 yrs old,8,not a full time student,11,Female,1,$1-$1000,1,0,0,1,577178,503091,0,1
050005ER2,2,Full time student,4,15-19 yrs old,3,Secondary,3,Female,1,No Income,12,0,0,0,0,0,526030,0
050005ER3,1,Employed Full-time,1,65-69 yrs old,13,not a full time student,11,Male,0,$1-$1000,1,0,0,1,79314,514070,0,1
050005ER4,1,Retired,6,65-69 yrs old,13,not a full time student,11,Female,1,No Income,12,0,0,0,0,0,0,0
050005ER6,1,Employed Full-time,1,35-39 yrs old,7,not a full time student,11,Female,1,$1-$1000,1,0,0,1,89486,532010,0,1
050005ER6,2,Full time student,4,10-14 yrs old,2,Secondary,3,Male,0,No Income,12,0,0,0,0,0,502090,0
050533AO,1,Homemaker,5,25-29 yrs old,5,not a full time student,11,Female,1,No Income,12,0,1,0,0,0,0,0
050533AO,2,Employed Full-time,1,25-29 yrs old,5,not a full time student,11,Male,0,$2000-$2499,4,0,1,1,609915,517040,0,1
050533AO,3, ,11,0-3 yrs old,0,not a full time student,11, ,0, ,13,0,0,0,0,0,0,0
050533DO,1,Employed Part-time,2,40-44 yrs old,8,not a full time student,11,Male,0,$1-$1000,1,0,0,0,0,0,0,2
050533DO,2, ,11, ,0,not a full time student,11, ,0, ,13,0,0,0,0,0,0,0
050533DO,3,Retired,6,85 yrs & above,17,not a full time student,11,Female,1,No Income,12,0,0,0,0,0,0,0
050533ER1,1,Homemaker,5,65-69 yrs old,13,not a full time student,11,Female,1,No Income,12,0,0,0,0,0,0,0
050533ER1,2,Full time student,4,4-9 yrs old,1,Primary,2,Male,0,No Income,12,0,0,0,0,0,539020,0
050535AR4,1,Employed Full-time,1,45-49 yrs old,9,not a full time student,11,Female,1,$1001-$1499,2,0,0,1,339349,519170,0,1
050535BR1,1,Employed Full-time,1,55-59 yrs old,11,not a full time student,11,Male,0,$2000-$2499,4,0,0,1,329727,530110,0,1
050535BR1,2,Employed Full-time,1,40-44 yrs old,8,not a full time student,11,Female,1,$1500-$1999,3,0,0,1,210663,540081,0,1
050535BR1,3,Full time student,4,15-19 yrs old,3,"Others (eg pte study at home,Home Study)",10,Male,0,$1-$1000,1,0,0,0,0,0,0,0
050535CR1,1,Employed Full-time,1,40-44 yrs old,8,not a full time student,11,Male,0,$1500-$1999,3,0,0,1,819829,510042,0,1
050535CR1,2,Homemaker,5,25-29 yrs old,5,not a full time student,11,Female,1,No Income,12,0,0,0,0,0,0,0
050535CR1,3,Employed Part-time,2,65-69 yrs old,13,not a full time student,11,Female,1,$1-$1000,1,0,0,1,188021,503100,0,1
050535CR1,4, ,11,0-3 yrs old,0,not a full time student,11, ,0, ,13,0,0,0,0,0,0,0
050535DR5,1,Employed Full-time,1,25-29 yrs old,5,not a full time student,11,Female,1,Refused,14,0,1,1,307987,530120,0,1
050535ER5,1,Employed Full-time,1,55-59 yrs old,11,not a full time student,11,Male,0,$1500-$1999,3,0,1,1,670256,507030,0,1
050535ER5,2,Full time student,4,20-24 yrs old,4,Private school,8,Male,0,No Income,12,0,0,0,0,0,0,0
050535ER5,3,Full time student,4,15-19 yrs old,3,Secondary,3,Male,0,No Income,12,0,0,0,0,0,0,0
050535ER5,4,Full time student,4,10-14 yrs old,2,Secondary,3,Male,0,No Income,12,0,0,0,0,0,506120,0
050535ER5,5,Employed Part-time,2,45-49 yrs old,9,not a full time student,11,Female,1,$1-$1000,1,0,0,1,239917,546060,0,1
050536AR5,1,Full time student,4,20-24 yrs old,4,Private school,8,Male,0,No Income,12,0,0,0,0,0,525110,0
050536CR4,1,Employed Full-time,1,50-54 yrs old,10,not a full time student,11,Male,0,$2000-$2499,4,0,1,1,180261,540020,0,1
050536CR4,2,Homemaker,5,70-74 yrs old,14,not a full time student,11,Female,1,No Income,12,0,0,0,0,0,0,0
050536DR6,1,Employed Full-time,1,40-44 yrs old,8,not a full time student,11,Male,0,Refused,14,0,1,0,0,0,0,2
050536DR6,2,Homemaker,5,40-44 yrs old,8,not a full time student,11,Female,1,No Income,12,0,0,0,0,0,0,0
050536DR6,3,Full time student,4,10-14 yrs old,2,Secondary,3,Male,0,No Income,12,0,0,0,0,0,506120,0
050536DR6,4,Full time student,4,4-9 yrs old,1,Primary,2,Male,0,No Income,12,0,0,0,0,0,506130,0
050536ER4,1,Employed Full-time,1,40-44 yrs old,8,not a full time student,11,Female,1,Refused,14,0,0,1,238863,531040,0,1
050536ER4,2,Full time student,4,15-19 yrs old,3,Polytechnic,5,Female,1,No Income,12,0,0,0,0,0,501170,0
050536ER4,3,Full time student,4,15-19 yrs old,3,Secondary,3,Male,0,No Income,12,0,0,0,0,0,506120,0
